,lineID,characterID,movieID,character,text
L194,L194,u0,m0,BIANCA,"Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.
"
L953,L953,u0,m0,BIANCA,"I did.
"
L659,L659,u0,m0,BIANCA,"I have to be home in twenty minutes.
"
L599,L599,u0,m0,BIANCA,"Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with, you know?
"
L597,L597,u0,m0,BIANCA,"Combination.  I don't know -- I thought he'd be different.  More of a gentleman...
"
L595,L595,u0,m0,BIANCA,"He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all, but he's not exactly relevant party conversation.
"
L580,L580,u0,m0,BIANCA,"Would you mind getting me a drink, Cameron?
"
L573,L573,u0,m0,BIANCA,"Joey.
"
L571,L571,u0,m0,BIANCA,"Where did he go?  He was just here.
"
L51,L51,u0,m0,BIANCA,"You might wanna think about it
"
L49,L49,u0,m0,BIANCA,"Did you change your hair?
"
L760,L760,u0,m0,BIANCA,"You know the deal.  I can ' t go if Kat doesn't go --
"
L757,L757,u0,m0,BIANCA,"Hi, Joey.
"
L592,L592,u0,m0,BIANCA,"Neat...
"
L590,L590,u0,m0,BIANCA,"Queen Harry?
"
L397,L397,u0,m0,BIANCA,"Hopefully.
"
L395,L395,u0,m0,BIANCA,"Expensive?
"
L1051,L1051,u0,m0,BIANCA,"Patrick -- is that- a.
"
L1021,L1021,u0,m0,BIANCA,"Is that woman a complete fruit-loop or is it just me?
"
L1011,L1011,u0,m0,BIANCA,"No! I just wanted
"
L1009,L1009,u0,m0,BIANCA,"I just wanted --
"
L1007,L1007,u0,m0,BIANCA,"Let go!
"
L982,L982,u0,m0,BIANCA,"You looked beautiful last night, you know.
"
L914,L914,u0,m0,BIANCA,"I guess I'll never know, will I?
"
L912,L912,u0,m0,BIANCA,"God, you're just like him! Just keep me locked away in the dark, so I can't experience anything for myself
"
L910,L910,u0,m0,BIANCA,"I'm not stupid enough to repeat your mistakes.
"
L908,L908,u0,m0,BIANCA,"No. you didn't!  If you really thought I could make my own decisions, you would've let me go out with him instead of helping Daddy hold me hostage.
"
L906,L906,u0,m0,BIANCA,"Why didn't you tell me?
"
L904,L904,u0,m0,BIANCA,"But
"
L902,L902,u0,m0,BIANCA,"You did what?
"
L900,L900,u0,m0,BIANCA,"As in...
"
L898,L898,u0,m0,BIANCA,"But you hate Joey
"
L896,L896,u0,m0,BIANCA,"Why?
"
L894,L894,u0,m0,BIANCA,"What?
"
L892,L892,u0,m0,BIANCA,"I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go, because you won ' t.
"
L890,L890,u0,m0,BIANCA,"Like you care.
"
L655,L655,u0,m0,BIANCA,"I don't get you.  You act like you're too good for any of this, and then you go totally apeshit when you get here.
"
L602,L602,u0,m0,BIANCA,"I really don't think I need any social advice from you right now.
"
L542,L542,u0,m0,BIANCA,"You are so completely unbalanced.
"
L533,L533,u0,m0,BIANCA,"Yeah, he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out, I should obsess over a dead guy, too.
"
L531,L531,u0,m0,BIANCA,"Like I'm supposed to know what that even means.
"
L529,L529,u0,m0,BIANCA,"Can't you forget for just one night that you're completely wretched?
"
L527,L527,u0,m0,BIANCA,"Bogey Lowenstein's party is normal, but you're too busy listening to Bitches Who Need Prozac to know that.
"
L525,L525,u0,m0,BIANCA,"You're ruining my life'  Because you won't be normal, I can't be normal.
"
L445,L445,u0,m0,BIANCA,"I think you're a freak.  I think you do this to torture me.  And I think you suck.
"
L443,L443,u0,m0,BIANCA,"Oh, I thought you might have a date  I don't know why I'm bothering to ask, but are you going to Bogey Lowenstein's party Saturday night?
"
L441,L441,u0,m0,BIANCA,"Oh my God, does this mean you're becoming normal?
"
L320,L320,u0,m0,BIANCA,"Can you at least start wearing a bra?
"
L165,L165,u0,m0,BIANCA,"Nowhere... Hi, Daddy.
"
L923,L923,u0,m0,BIANCA,"I have a date, Daddy.  And he ' s not a captain of oppression like some men we know.
"
L884,L884,u0,m0,BIANCA,"Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!
"
L882,L882,u0,m0,BIANCA,"He's not a ""hot rod"".  Whatever that is.
"
L880,L880,u0,m0,BIANCA,"No, but
"
L878,L878,u0,m0,BIANCA,"Daddy, I want to discuss the prom with you. It's tomorrow night --
"
L545,L545,u0,m0,BIANCA,"Why?
"
L539,L539,u0,m0,BIANCA,"Daddy, no!
"
L537,L537,u0,m0,BIANCA,"It's just a party. Daddy.
"
L523,L523,u0,m0,BIANCA,"Daddy, people expect me to be there!
"
L521,L521,u0,m0,BIANCA,"It's just a party. Daddy, but I knew you'd forbid me to go since ""Gloria Steinem"" over there isn't going --
"
L519,L519,u0,m0,BIANCA,"If you must know, we were attempting to go to a small study group of friends.
"
L517,L517,u0,m0,BIANCA,"Daddy, I --
"
L189,L189,u0,m0,BIANCA,"But she doesn't want to date.
"
L183,L183,u0,m0,BIANCA,"But it's not fair -- she's a mutant, Daddy!
"
L181,L181,u0,m0,BIANCA,"What if she never starts dating?
"
L179,L179,u0,m0,BIANCA,"Now don't get upset. Daddy, but there's this boy... and I think he might ask...
"
L778,L778,u2,m0,CAMERON,"You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.
"
L586,L586,u2,m0,CAMERON,"No, I ' m not.
"
L584,L584,u2,m0,CAMERON,"The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?
"
L500,L500,u2,m0,CAMERON,"Hell, I've just been going over the whole thing in my head and -
"
L433,L433,u2,m0,CAMERON,"It's her favorite band.
"
L425,L425,u2,m0,CAMERON,"Okay!  I wasn't sure
"
L418,L418,u2,m0,CAMERON,"Her favorite uncle
"
L416,L416,u2,m0,CAMERON,"Number one.  She hates smokers
"
L390,L390,u2,m0,CAMERON,"Will Bogey get bent?
"
L388,L388,u2,m0,CAMERON,"This is it.  A golden opportunity. Patrick can ask Katarina to the party.
"
L244,L244,u2,m0,CAMERON,"You got him involved?
"
L224,L224,u2,m0,CAMERON,"I thought you hated those people.
"
L222,L222,u2,m0,CAMERON,"That's what I just said
"
L220,L220,u2,m0,CAMERON,"Forget his reputation.  Do you think we've got a plan or not?
"
L218,L218,u2,m0,CAMERON,"They always let felons sit in on Honors Biology?
"
L216,L216,u2,m0,CAMERON,"He seems like he thrives on danger
"
L212,L212,u2,m0,CAMERON,"What about him?
"
L210,L210,u2,m0,CAMERON,"I teach her French, get to know her, dazzle her with charm and she falls in love with me.
"
L158,L158,u2,m0,CAMERON,"That's her?  Bianca's sister?
"
L146,L146,u2,m0,CAMERON,"You mean I'd get a chance to talk to her?
"
L144,L144,u2,m0,CAMERON,"Sure do ... my Mom's from Canada
"
L141,L141,u2,m0,CAMERON,"He always have that shit-eating grin?
"
L139,L139,u2,m0,CAMERON,"Why do girls like that always like guys like that?
"
L91,L91,u2,m0,CAMERON,"Why not?
"
L89,L89,u2,m0,CAMERON,"Who is she?
"
L87,L87,u2,m0,CAMERON,"That girl -- I --
"
L77,L77,u2,m0,CAMERON,"That I'm used to.
"
L73,L73,u2,m0,CAMERON,"How many people go here?
"
L71,L71,u2,m0,CAMERON,"Thirty-two.
"
L69,L69,u2,m0,CAMERON,"Yeah.  A couple.  We're outnumbered by the cows, though.
"
L67,L67,u2,m0,CAMERON,"North, actually.  How'd you   ?
"
L64,L64,u2,m0,CAMERON,"So they tell me...
"
L781,L781,u2,m0,CAMERON,"You get the girl.
"
L744,L744,u2,m0,CAMERON,"She kissed me.
"
L740,L740,u2,m0,CAMERON,"She hates you with the fire of a thousand suns .  That's a direct quote
"
L725,L725,u2,m0,CAMERON,"What'd you do to her?
"
L624,L624,u2,m0,CAMERON,"Sure
"
L622,L622,u2,m0,CAMERON,"She's partial to Joey, not me
"
L620,L620,u2,m0,CAMERON,"It's off. The whole thing.
"
L430,L430,u2,m0,CAMERON,"Gigglepuss is playing there tomorrow night.
"
L426,L426,u2,m0,CAMERON,"Okay -- Likes:  Thai food, feminist prose, and ""angry, stinky girl music of the indie-rock persuasion"".
"
L412,L412,u2,m0,CAMERON,"I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.
"
L385,L385,u2,m0,CAMERON,"And he means that strictly in a non- prison-movie type of way.
"
L450758,L450758,u7142,m479,VIVIAN,"He's not really my uncle.
"
L450755,L450755,u7142,m479,VIVIAN,"I dunno.  Do thigh high, leather boots go with a cocktail dress?
"
L450753,L450753,u7142,m479,VIVIAN,"Well... I might be going out to dinner.
"
L450751,L450751,u7142,m479,VIVIAN,"Georgia.
"
L450867,L450867,u7133,m479,EDWARD,"Do what you have to do.  I don't take it personally.
"
L450865,L450865,u7133,m479,EDWARD,"We can reach an understanding on this.
"
L450850,L450850,u7133,m479,EDWARD,"But I do know.  I also know your lines of credit are over-extended. If I don't buy your company, someone else will...  Ah, the escargot.
"
L450848,L450848,u7133,m479,EDWARD,"You're not getting any navy contracts.
"
L450842,L450842,u7133,m479,EDWARD,"Twenty-five percent.
"
L450995,L450995,u7142,m479,VIVIAN,"You don't know anything about me.
"
L450993,L450993,u7142,m479,VIVIAN,"It's... it's not like that.
"
L450991,L450991,u7142,m479,VIVIAN,"No.
"
L450988,L450988,u7142,m479,VIVIAN,"Please, we hardly know each other.
"
L450986,L450986,u7142,m479,VIVIAN,"Huh?  Oh... yeah.  S'okay?  Uhm... how're... business things going.
"
L451190,L451190,u7133,m479,EDWARD,"Who indeed...
"
L451187,L451187,u7133,m479,EDWARD,"What?
"
L450734,L450734,u7133,m479,EDWARD,"You what?
"
L450731,L450731,u7133,m479,EDWARD,"Not with those smokestacks it's not.
"
L450729,L450729,u7133,m479,EDWARD,"What's that long building over there?
"
L451215,L451215,u7133,m479,EDWARD,"You're very right.  I think the best thing we could all do is go home.
"
L451213,L451213,u7133,m479,EDWARD,"This time I imagine you would, yes.  Hmm...  With all this in mind, Mr. Kross, I can't logically make a formal bid on your company, can I?
"
L451208,L451208,u7133,m479,EDWARD,"I suppose you'd find out soon enough that you have assets you presently don't seem aware of, wouldn't you?  The waste processing licenses at that abandoned shipyard of yours, you'd certainly find out about that.
"
L451206,L451206,u7133,m479,EDWARD,"How?
"
L451202,L451202,u7133,m479,EDWARD,"If you had a... reprieve, what would do?
"
L451200,L451200,u7133,m479,EDWARD,"Stop.  For just a moment.  Mr. Kross, I'd like to ask you a few questions <u>before</u> you sign. You realize that you're a target. If you weren't mine, you'd be someone elses, correct?
"
L451136,L451136,u7133,m479,EDWARD,"You're making the right decision, sir.
"
L451134,L451134,u7133,m479,EDWARD,"<u>Expected</u>... offer.
"
L451127,L451127,u7133,m479,EDWARD,"How are you, Mr. Kross.
"
L450860,L450860,u7133,m479,EDWARD,"It is <u>not</u> your company.  It's a public company.  And I <u>am</u> going to acquire it.  Either I buy from the other stock holders, or I buy from you.
"
L450858,L450858,u7133,m479,EDWARD,"What I did with those companies was perfectly legal.
"
L450856,L450856,u7133,m479,EDWARD,"No.  What I have is a lot of money.
"
L450854,L450854,u7133,m479,EDWARD,"Mr. Kross, I'm not here to sell you my stock.  On the contrary, I'm here to buy yours.
"
L450846,L450846,u7133,m479,EDWARD,"To get me in a mood to sell -- double what I paid.  But your company doesn't have enough capital right now to buy anything.
"
L451256,L451256,u7142,m479,VIVIAN,"It's not your fault.  You're right.  Kit's right.  But I want the fairy tale.
"
L451255,L451255,u7133,m479,EDWARD,"Vivian...
"
L451254,L451254,u7142,m479,VIVIAN,"I didn't think so.
"
L451253,L451253,u7142,m479,VIVIAN,"I do.  I do want to.  That's why I'm leaving.  That's what you given me, see? I know what I want now.  I want a guy like you for real.  Not because you buy me things and give me money.  The nicest thing you ever done for me is hold my hand. You gonna give me that?
"
L451252,L451252,u7133,m479,EDWARD,"Stay with me tonight.  Not because you're being paid to. Stay with me because you want to.
"
L451251,L451251,u7142,m479,VIVIAN,"Aw, don't... no...
"
L451250,L451250,u7142,m479,VIVIAN,"I'm leaving.  Don't ya see?  If I stay with you like you want me to, there'll always be some guy, your friends eve, treatin' me like that... thinkin' they're allowed to.  What are you gonna do, fight'm all? No.  I'll take my money now, please.
"
L451249,L451249,u7133,m479,EDWARD,"You're packing.
"
L451248,L451248,u7133,m479,EDWARD,"It felt good.
"
L451247,L451247,u7142,m479,VIVIAN,"It was good.
"
L451246,L451246,u7133,m479,EDWARD,"I got tired of hating my father.
"
L451245,L451245,u7133,m479,EDWARD,"It was a business decision.
"
L451244,L451244,u7142,m479,VIVIAN,"Right.  You're quite the Sir Galahad today, aren't ya'?  I heard what you did with Kross.
"
L451243,L451243,u7133,m479,EDWARD,"Not all men hit.  And no one is going to hit you anymore.
"
L451242,L451242,u7142,m479,VIVIAN,"Why do guys always know how to hit a woman?  Right across the cheek, wham, so it feels like your eye is gonna explode.  What do they do, take you all aside in high school and show you how? It pisses me off!
"
L451153,L451153,u7133,m479,EDWARD,"It's what I do for a living. It's how I make money.
"
L451152,L451152,u7142,m479,VIVIAN,"It's all just business to you. Him.  Me.  Your life. Everything's business.
"
L451151,L451151,u7133,m479,EDWARD,"Yes.  The man made a business decision.
"
L451150,L451150,u7142,m479,VIVIAN,"Business.
"
L451149,L451149,u7133,m479,EDWARD,"It's not your concern.  It's... business, that's all.
"
L451148,L451148,u7142,m479,VIVIAN,"Right.
"
L451147,L451147,u7133,m479,EDWARD,"Vivian, I want you to listen to me.  The man realized that it would be better for his future and his son's future, if he cooperated.
"
L451146,L451146,u7142,m479,VIVIAN,"Last time I saw him he was this strong guy.  Now he's beaten. And you <u>liked him</u>.
"
L451145,L451145,u7133,m479,EDWARD,"What do you mean?
"
L451144,L451144,u7142,m479,VIVIAN,"What did you do to him?
"
L451125,L451125,u7142,m479,VIVIAN,"You just did.
"
L451124,L451124,u7133,m479,EDWARD,"I've never treated you like a whore.
"
L451123,L451123,u7142,m479,VIVIAN,"I know.  Hey, don't mind me.  I'm being stupid.  I'll think about it, okay?  It's a real good offer for a whore.
"
L451122,L451122,u7133,m479,EDWARD,"Vivian, life's not a fairy tale.
"
L451121,L451121,u7142,m479,VIVIAN,"When I was a little girl, my mother locked me in the attic when I was bad, which was pretty often. I'd stare out the window up there and make believe I was a princess trapped in the tower by the wicked queen.  Then suddenly a knight on a white horse with his bright colors flying would ride up. Rescue me from the tower, and then we'd ride off... but never, ever in all the times I had that dream did the knight say, ""Come on baby, I'll put you up in a great condo.""
"
L451120,L451120,u7133,m479,EDWARD,"Vivian, I've thought about this a lot.  This is the best solution.
"
L451119,L451119,u7142,m479,VIVIAN,"I'm sorry.  That's very sweet, Edward, and I know you mean it...
"
L451118,L451118,u7133,m479,EDWARD,"It wouldn't be like that.  I want to get you off the street.  You'll have a different kind of life. What's wrong with that?
"
L451117,L451117,u7142,m479,VIVIAN,"What else?  You gonna leave some cash by the bed when you pass through town?
"
L451116,L451116,u7133,m479,EDWARD,"I have to go to New York tomorrow.
"
L451115,L451115,u7142,m479,VIVIAN,"Yeah, you've been pretty tough to take.
"
L451114,L451114,u7133,m479,EDWARD,"One more night and you're finally rid of me.
"
L451101,L451101,u7133,m479,EDWARD,"Yes.  I've never enjoyed it more. Thank you.
"
L451100,L451100,u7142,m479,VIVIAN,"Did you?
"
L451099,L451099,u7133,m479,EDWARD,"I know.  I'm glad.
"
L451098,L451098,u7142,m479,VIVIAN,"I more than liked it.
"
L451097,L451097,u7133,m479,EDWARD,"If you'd gone on about how much you liked it, I'm not sure I'd have believed you.
"
L451091,L451091,u7133,m479,EDWARD,"Vivian, don't be afraid of what you don't know.  That's the fun of it.
"
L451090,L451090,u7142,m479,VIVIAN,"But don't they have it in English?
"
L451089,L451089,u7133,m479,EDWARD,"I'll whisper some of the main parts of the story to you.  But you'll be surprised how much you understand.  The music conveys the story more powerfully than any words.
"
L451088,L451088,u7142,m479,VIVIAN,"If it's in Italian, how will I know what they're saying?
"
L451082,L451082,u7133,m479,EDWARD,"What happened to him?
"
L451081,L451081,u7142,m479,VIVIAN,"You mean, besides Elvis?  I'm a human being.  Sure.  Once. First time I ever ran away from home, I got as far as Atlanta. I met this boy.  He'd been with his parents on their way to Chicago.  They stopped at a gas station.  He went to the john. When he came back they'd split. We sorta started looking out for each other.  Aw, he was sweet. And boy, was he good looking, y'know, dark hair and eyes. The chicken hawks were on him all the time.  He hated that. Sometimes we'd find a safe place to crash nights and we'd curl up together and we'd talk about all these crazy things.  The two of us getting married someday. Having kids.  Stupid stuff.
"
L451080,L451080,u7133,m479,EDWARD,"Vivian.  I'm paying you to be you.  Be you.  Have you?  Ever been in love with anyone?
"
L451079,L451079,u7142,m479,VIVIAN,"Sorry.  You're not paying me to ask you question like that.
"
L451075,L451075,u7133,m479,EDWARD,"I'm glad you like it.  Now be quiet, I've really got to read these.
"
L451074,L451074,u7142,m479,VIVIAN,"I've never been on a plane before.
"
L451073,L451073,u7133,m479,EDWARD,"The opera.
"
L451072,L451072,u7142,m479,VIVIAN,"Huh?
"
L451071,L451071,u7133,m479,EDWARD,"To meet some friends.  Rudolpho, a poet... Benoit, a landlord... Mimi, a flower maker...
"
L451070,L451070,u7142,m479,VIVIAN,"Where are you taking me!?
"
L451069,L451069,u7133,m479,EDWARD,"You don't want to go all the way to San Francisco in a limousine, do you?  I don't.
"
L451065,L451065,u7133,m479,EDWARD,"I'll guard them and you with my life.
"
L451064,L451064,u7142,m479,VIVIAN,"What if someone tries to steal it?
"
L451063,L451063,u7133,m479,EDWARD,"You won't.
"
L451062,L451062,u7142,m479,VIVIAN,"What if I lose it?
"
L451061,L451061,u7133,m479,EDWARD,"Shush.  Of course you can.
"
L451060,L451060,u7142,m479,VIVIAN,"Edward, I can't.
"
L451058,L451058,u7133,m479,EDWARD,"I don't want you to get too excited... these are on loan... however...
"
L451057,L451057,u7142,m479,VIVIAN,"What's that?
"
L451056,L451056,u7133,m479,EDWARD,"Hmm... let's see... no, there's something missing.
"
L451055,L451055,u7142,m479,VIVIAN,"Do I look okay?
"
L451044,L451044,u7133,m479,EDWARD,"I really am sorry.
"
L451043,L451043,u7142,m479,VIVIAN,"I'm not hurt.  It doesn't hurt you when somebody pisses on you, it just pissed you off.
"
L451042,L451042,u7133,m479,EDWARD,"Vivian... I'm sorry.  I wasn't prepared for questions about us. It was an idiotic and insensitive thing I did.  I should have known that it would hurt you.
"
L451041,L451041,u7133,m479,EDWARD,"I'll call you a cab.  If you want the clothes, pack them up.
"
L451040,L451040,u7142,m479,VIVIAN,"Fuck off.
"
L451039,L451039,u7133,m479,EDWARD,"Fine.  I'm only here a couple of more days and I'm not going to spend them fighting with you.
"
L451038,L451038,u7142,m479,VIVIAN,"Pay me!  Before I pick up this chair and smash your face in.
"
L451037,L451037,u7133,m479,EDWARD,"Vivian...
"
L451036,L451036,u7142,m479,VIVIAN,"Well, it's true.  Just pay me what you owe me and I'm gone.
"
L451035,L451035,u7142,m479,VIVIAN,"Your goddamned friend, he thinks the only reason I'm with you is for the money.
"
L451034,L451034,u7133,m479,EDWARD,"Can we talk about this?  Can you just try to calm down?
"
L451033,L451033,u7142,m479,VIVIAN,"I want my fucking money.  I'm getting out of here.  I don't want anything more to do with you.
"
L451032,L451032,u7133,m479,EDWARD,"What was I supposed to do?  I told the truth.  Why should the truth upset you?  It's not as if you're from a convent.
"
L451031,L451031,u7142,m479,VIVIAN,"Stuckey!  He wants an ""appointment"" with me after you leave.  You my pimp now or did he think that up on his own?
"
L451030,L451030,u7133,m479,EDWARD,"Would you please calm down.  Tell me what happened.
"
L451029,L451029,u7142,m479,VIVIAN,"I've been with stinking old men who've made me want to puke but I've never had anyone make me feel as dirty as you did tonight.
"
L451028,L451028,u7133,m479,EDWARD,"I don't know what you're talking about.
"
L451027,L451027,u7142,m479,VIVIAN,"Clean the slut up, take her out, huh?!  What are you trying to prove!?  I'm not a piece of meat for you to offer to your friends!
"
L451026,L451026,u7133,m479,EDWARD,"Vivian, what the --
"
L451025,L451025,u7142,m479,VIVIAN,"You asshole!  I can't believe what a --!
"
L450982,L450982,u7133,m479,EDWARD,"Ready to stomp sod?
"
L450981,L450981,u7142,m479,VIVIAN,"I thought I was the pro.  These women make me feel like an amateur.
"
L450980,L450980,u7133,m479,EDWARD,"I'm sure that's true for some of them.
"
L450979,L450979,u7142,m479,VIVIAN,"Edward, these women here, I don't think any of'm like the guys they're with.  They're just into it for the money.
"
L450966,L450966,u7133,m479,EDWARD,"Shall we mingle?
"
L450965,L450965,u7142,m479,VIVIAN,"You could freeze ice on his wife's ass.  She anything like your ex?
"
L450964,L450964,u7133,m479,EDWARD,"He's good at what he does.
"
L450963,L450963,u7142,m479,VIVIAN,"Real genuine guy.
"
L450955,L450955,u7142,m479,VIVIAN,"You did.
"
L450954,L450954,u7133,m479,EDWARD,"I really doubt anyone here frequents Hollywood Boulevard.
"
L450953,L450953,u7142,m479,VIVIAN,"What id we run into someone I know?
"
L450952,L450952,u7133,m479,EDWARD,"I think it's exciting.
"
L450951,L450951,u7142,m479,VIVIAN,"You're really pushing it, bringing me here.
"
L450946,L450946,u7133,m479,EDWARD,"He died a long time ago.
"
L450945,L450945,u7142,m479,VIVIAN,"You still mad at'm?
"
L450944,L450944,u7133,m479,EDWARD,"Not much to tell.  I went to public school.  Went to university on scholarship.  Went to work for an investment firm. In eight years I owned it.  My father was chairman of the board of the third company I ever went after.  I swallowed that company and shit out the pieces. One of the pieces was him.
"
L450943,L450943,u7142,m479,VIVIAN,"Keep talkin'.  I like hearin'.
"
L450942,L450942,u7133,m479,EDWARD,"Easier than learning how to be poor.  My father's family was wealthy. When I was young there were cars and houses, private schools, nannies.  But then my father divorced my mother to marry another woman.  And he took his money with him.
"
L450941,L450941,u7142,m479,VIVIAN,"Seems like it.  I guess it's easy to get used to, huh?
"
L450940,L450940,u7133,m479,EDWARD,"No.
"
L450939,L450939,u7142,m479,VIVIAN,"You always been rich?
"
L450938,L450938,u7133,m479,EDWARD,"Dinner can wait.
"
L450937,L450937,u7142,m479,VIVIAN,"What about dinner?
"
L450936,L450936,u7133,m479,EDWARD,"Please.
"
L450935,L450935,u7142,m479,VIVIAN,"Wait till you see what I have on underneath.
"
L450934,L450934,u7133,m479,EDWARD,"Thank you.  I would.  Nice.
"
L450933,L450933,u7142,m479,VIVIAN,"I thought maybe you'd like dinner.
"
L450896,L450896,u7142,m479,VIVIAN,"Come with me?
"
L450895,L450895,u7133,m479,EDWARD,"Good.
"
L450894,L450894,u7142,m479,VIVIAN,"Okay.
"
L450893,L450893,u7133,m479,EDWARD,"Vivian, you belong wherever you are.  I don't care how you were dressed, they were the ones who were wrong, not you.
"
